FUS(G156E)-EGFP / μM,PEG 6000 / % (w/w),feature,bis-ANS
0.667698584,7.582138453,TRUE,FALSE
3.237928933,1.625971956,TRUE,FALSE
2.083472696,2.375144655,TRUE,FALSE
1.669065399,3.476443121,TRUE,FALSE
1.813344989,3.569784105,TRUE,FALSE
1.684160454,4.654041436,TRUE,FALSE
2.601847125,2.050740553,TRUE,FALSE
1.316411538,3.807895845,TRUE,FALSE
1.174078339,5.190636711,TRUE,FALSE
3.320639791,2.057216753,TRUE,FALSE
1.637694879,5.082844832,TRUE,FALSE
1.205073683,4.560276025,TRUE,FALSE
1.620312615,3.91549175,TRUE,FALSE
1.470951208,5.004264856,TRUE,FALSE
2.625094711,2.083379894,TRUE,FALSE
2.886979638,1.97995764,TRUE,FALSE
1.263415977,4.680555026,TRUE,FALSE
1.784919775,3.657265672,TRUE,FALSE
2.781511006,1.937591938,TRUE,FALSE
1.250483829,3.402462327,TRUE,FALSE
3.196204449,1.483196186,TRUE,FALSE
2.753123972,2.148057369,TRUE,FALSE
1.258282002,2.848646779,TRUE,FALSE
2.981681617,1.826648867,TRUE,FALSE
2.5125265,2.19981534,TRUE,FALSE
1.975303911,2.309687831,TRUE,FALSE
2.827087058,2.046280385,TRUE,FALSE
0.486225605,7.758376996,TRUE,FALSE
2.446106594,2.944537632,TRUE,FALSE
1.228714544,5.89441019,TRUE,FALSE
0.478643244,5.215491986,TRUE,FALSE
1.244422543,5.442122956,TRUE,FALSE
1.792600417,5.085395845,TRUE,FALSE
1.794540986,4.568523567,TRUE,FALSE
0.483425482,6.055611032,TRUE,FALSE
1.280093326,5.410124706,TRUE,FALSE
1.14686398,3.823199975,TRUE,FALSE
0.22133646,6.216006822,TRUE,FALSE
1.54374458,6.262235727,TRUE,FALSE
1.638832766,4.833003809,TRUE,FALSE
1.383329704,4.772777763,TRUE,FALSE
1.61906859,3.786045735,TRUE,FALSE
1.566288562,4.260216414,TRUE,FALSE
0.890688486,3.892471631,TRUE,FALSE
1.25065648,4.942437164,TRUE,FALSE
1.433584592,3.647293466,TRUE,FALSE
0.778367822,5.571799461,TRUE,FALSE
1.095838127,6.512309876,TRUE,FALSE
3.382825242,1.590242528,TRUE,FALSE
1.243370421,6.259398483,TRUE,FALSE
0.281364224,6.294619198,TRUE,FALSE
0.842033702,4.47425892,TRUE,FALSE
1.561454801,5.460614157,TRUE,FALSE
1.46393086,3.483286398,TRUE,FALSE
1.748148595,3.185447202,TRUE,FALSE
1.861170285,3.006703081,TRUE,FALSE
1.318038571,4.227367948,TRUE,FALSE
1.237868997,3.056342648,TRUE,FALSE
2.650128858,2.50693879,TRUE,FALSE
2.671709927,1.877492794,TRUE,FALSE
0.907128104,4.818880692,TRUE,FALSE
1.178983789,3.765337635,TRUE,FALSE
0.898139221,4.701070921,TRUE,FALSE
0.811938567,5.757378353,TRUE,FALSE
0.441537939,7.299271537,TRUE,FALSE
3.166231972,2.057958026,TRUE,FALSE
2.479874189,2.602100071,TRUE,FALSE
3.604541115,1.649721435,TRUE,FALSE
1.407073352,3.545749145,TRUE,FALSE
2.216388078,3.479586818,TRUE,FALSE
0.837262915,5.536116413,TRUE,FALSE
2.930000207,2.046954905,TRUE,FALSE
2.005772481,2.94235181,TRUE,FALSE
0.712888423,7.180937026,TRUE,FALSE
1.839407801,4.879376102,TRUE,FALSE
0.791423815,5.725822643,TRUE,FALSE
0.338669218,6.906577147,TRUE,FALSE
1.102703985,4.968039941,TRUE,FALSE
1.407840378,3.936766578,TRUE,FALSE
0.512598908,6.851102628,TRUE,FALSE
1.197207698,4.773863909,TRUE,FALSE
0.724131157,6.772834199,TRUE,FALSE
1.073844888,5.041719959,TRUE,FALSE
2.430456929,2.402865338,TRUE,FALSE
1.434715213,3.803664435,TRUE,FALSE
1.33655498,4.672162272,TRUE,FALSE
2.190657307,3.695318889,TRUE,FALSE
1.393437332,4.298315482,TRUE,FALSE
1.519602675,4.445349741,TRUE,FALSE
1.400647994,5.534560956,TRUE,FALSE
1.352915211,6.149030424,TRUE,FALSE
1.173591211,4.404263678,TRUE,FALSE
0.855020465,5.112173664,TRUE,FALSE
1.19571398,4.473476146,TRUE,FALSE
