feature,"PolyA, ng/uL","Os-C, uM"
FALSE,23.84270361,9.609977664
FALSE,31.92988951,9.61078932
FALSE,24.35183887,9.612316186
FALSE,24.36332226,9.615868769
FALSE,32.41521245,9.616625038
FALSE,27.55091451,9.621018838
FALSE,25.02590313,9.621607129
FALSE,25.46149236,9.62169601
FALSE,37.58209141,9.628096632
FALSE,23.57749673,9.637304697
FALSE,24.92788927,9.640824785
FALSE,30.87658201,9.641997392
FALSE,24.71087649,9.648292514
FALSE,30.97122947,9.649902509
FALSE,24.47252716,9.650824591
FALSE,32.96244003,9.651274938
FALSE,35.58855441,9.65207896
FALSE,29.3781638,9.652623196
FALSE,28.82460806,9.653205948
FALSE,36.07197218,9.664899392
FALSE,31.42549849,9.665669149
FALSE,24.97522705,9.666342871
FALSE,32.39720566,9.667968028
FALSE,10.15325127,9.669761353
FALSE,14.43433258,9.674477282
FALSE,19.923145,9.674706366
FALSE,32.75275874,9.677147958
FALSE,14.23892676,9.67715704
FALSE,16.71435796,9.678698269
FALSE,34.26981373,9.68417866
FALSE,32.93815183,9.685777128
FALSE,24.70259716,9.687664125
FALSE,27.02137616,9.690098602
FALSE,35.97516433,9.691242096
FALSE,35.38884938,9.691480503
FALSE,31.55325376,9.69191905
FALSE,34.71145689,9.697665778
FALSE,24.86709284,9.704744756
FALSE,26.18459814,9.709170971
FALSE,22.47740995,9.712852587
FALSE,25.77020919,9.713139782
FALSE,34.19001893,9.726127803
TRUE,25.77556342,9.729999718
FALSE,23.69359971,9.730501189
FALSE,36.85850173,9.732687066
FALSE,16.14451348,9.737648066
FALSE,29.45925258,9.738102396
FALSE,35.8656974,9.739351476
FALSE,29.91239665,9.74225203
FALSE,32.37570665,9.752530766
FALSE,23.57241554,9.752684398
FALSE,31.28829385,9.759173276
FALSE,26.04702777,9.760264055
FALSE,22.77773924,9.761664739
FALSE,32.48959421,9.762128087
FALSE,24.97227436,9.763574628
FALSE,34.65695949,9.763661416
FALSE,34.69736667,9.763723623
FALSE,18.41097413,9.76373478
FALSE,24.93385594,9.768458459
FALSE,26.21764091,9.77114645
FALSE,33.88192218,9.771910768
FALSE,24.93594454,9.777259734
FALSE,14.03486529,9.777488112
FALSE,29.36336489,9.77794235
FALSE,30.69306069,9.781957266
FALSE,35.76115616,9.782450289
FALSE,34.428179,9.788661849
FALSE,24.85106364,9.788748168
FALSE,27.85878904,9.791259271
FALSE,34.11018774,9.797314704
FALSE,31.33766396,9.803239799
TRUE,34.03938546,9.804085985
FALSE,35.81277964,9.809944653
FALSE,19.6702678,9.810780062
FALSE,32.93732493,9.813984797
FALSE,25.43733462,9.81549708
FALSE,32.66322417,9.82389483
FALSE,27.57943362,9.825670337
FALSE,33.96726807,9.828377681
FALSE,27.22680201,9.83642048
FALSE,26.40692576,9.838251361
FALSE,26.87439019,9.844795866
FALSE,9.351799092,9.845234352
FALSE,27.46567988,9.845845323
FALSE,12.69485826,9.846062907
FALSE,24.52489928,9.84666581
FALSE,13.07008988,9.852054178
FALSE,24.63221953,9.856571645
FALSE,25.90846086,9.861550463
FALSE,35.68247205,9.86625463
FALSE,23.06950971,9.870295358
FALSE,32.5278065,9.871874202
FALSE,28.54086305,9.885361947
FALSE,32.29280791,9.887191512
FALSE,16.49736866,9.889819872
FALSE,25.62737386,9.893806512
TRUE,26.41230725,9.896312578
FALSE,27.05819552,9.904258765
FALSE,24.46822221,9.904318205
FALSE,11.14750135,9.910988834
FALSE,8.107085932,9.91595678
FALSE,7.820305593,9.925824087
FALSE,26.35807225,9.929899817
FALSE,17.42945031,9.944621709
FALSE,24.73812401,9.957356027
FALSE,28.23551259,9.96212613
FALSE,22.31775724,9.963086943
FALSE,13.97144057,9.963704018
FALSE,27.85083531,9.964970417
FALSE,33.31740635,9.969514512
FALSE,22.41664655,9.974722625
FALSE,10.01395445,9.987876204
FALSE,28.63252412,9.990724328
FALSE,31.64780492,9.996938879
FALSE,19.6014765,9.997579309
FALSE,16.7690367,10.00107602
FALSE,24.32999757,10.00136231
FALSE,32.97382212,10.00153815
FALSE,31.28615273,10.00405134
FALSE,24.36938571,10.01002421
FALSE,27.97660315,10.0100486
FALSE,16.63640433,10.02252353
FALSE,14.27899743,10.02893018
FALSE,28.64660977,10.02955932
FALSE,27.94453688,10.03329211
FALSE,22.54704673,10.03541683
FALSE,25.38674201,10.03691786
FALSE,16.31394166,10.03877882
FALSE,34.40957603,10.03881702
FALSE,11.80625974,10.04011092
